-BEGIN HEADER-,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,
Dates (month/day/year): 11/01/2014 through 07/01/2015 ,,,,
Location: Latitude  18.6126   Longitude -46.2224 ,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 0.0 meters   Site = na ,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,
Value for missing model data cannot be computed or out of model availability range: -99 ,,,,
Parameter(s): ,,,,
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) ,,,,
-END HEADER-,,,,
LAT,LON,YEAR,DOY,WS2M
18.61261,-46.22239,2014,305,6.25
18.61261,-46.22239,2014,306,7.37
18.61261,-46.22239,2014,307,7.62
18.61261,-46.22239,2014,308,7.19
18.61261,-46.22239,2014,309,8.04
18.61261,-46.22239,2014,310,8.01
18.61261,-46.22239,2014,311,6.58
18.61261,-46.22239,2014,312,5.79
18.61261,-46.22239,2014,313,7.14
18.61261,-46.22239,2014,314,6.84
18.61261,-46.22239,2014,315,6.1
18.61261,-46.22239,2014,316,5.95
18.61261,-46.22239,2014,317,6.38
18.61261,-46.22239,2014,318,5.89
18.61261,-46.22239,2014,319,6.26
18.61261,-46.22239,2014,320,5.63
18.61261,-46.22239,2014,321,6.26
18.61261,-46.22239,2014,322,7.77
18.61261,-46.22239,2014,323,8.4
18.61261,-46.22239,2014,324,8.16
18.61261,-46.22239,2014,325,8.14
18.61261,-46.22239,2014,326,7.05
18.61261,-46.22239,2014,327,6.84
18.61261,-46.22239,2014,328,6.75
18.61261,-46.22239,2014,329,6.76
18.61261,-46.22239,2014,330,7.15
18.61261,-46.22239,2014,331,6.62
18.61261,-46.22239,2014,332,5.66
18.61261,-46.22239,2014,333,5.86
18.61261,-46.22239,2014,334,5.69
18.61261,-46.22239,2014,335,5.53
18.61261,-46.22239,2014,336,5.56
18.61261,-46.22239,2014,337,5.57
18.61261,-46.22239,2014,338,6.34
18.61261,-46.22239,2014,339,5.92
18.61261,-46.22239,2014,340,5.87
18.61261,-46.22239,2014,341,6.59
18.61261,-46.22239,2014,342,7.44
18.61261,-46.22239,2014,343,7.32
18.61261,-46.22239,2014,344,6.39
18.61261,-46.22239,2014,345,5.53
18.61261,-46.22239,2014,346,2.58
18.61261,-46.22239,2014,347,3.09
18.61261,-46.22239,2014,348,4.07
18.61261,-46.22239,2014,349,5.03
18.61261,-46.22239,2014,350,5.43
18.61261,-46.22239,2014,351,2.98
18.61261,-46.22239,2014,352,2.4
18.61261,-46.22239,2014,353,1.98
18.61261,-46.22239,2014,354,3.56
18.61261,-46.22239,2014,355,5.39
18.61261,-46.22239,2014,356,4.84
18.61261,-46.22239,2014,357,4.26
18.61261,-46.22239,2014,358,2.61
18.61261,-46.22239,2014,359,3.13
18.61261,-46.22239,2014,360,4.71
18.61261,-46.22239,2014,361,1.48
18.61261,-46.22239,2014,362,1.78
18.61261,-46.22239,2014,363,6.22
18.61261,-46.22239,2014,364,7.86
18.61261,-46.22239,2014,365,7.97
18.61261,-46.22239,2015,1,7.92
18.61261,-46.22239,2015,2,8.12
18.61261,-46.22239,2015,3,7.75
18.61261,-46.22239,2015,4,8.28
18.61261,-46.22239,2015,5,8.52
18.61261,-46.22239,2015,6,8.55
18.61261,-46.22239,2015,7,8.35
18.61261,-46.22239,2015,8,8.53
18.61261,-46.22239,2015,9,8.63
18.61261,-46.22239,2015,10,8.95
18.61261,-46.22239,2015,11,9.13
18.61261,-46.22239,2015,12,9.1
18.61261,-46.22239,2015,13,8.89
18.61261,-46.22239,2015,14,8.45
18.61261,-46.22239,2015,15,8.36
18.61261,-46.22239,2015,16,8.08
18.61261,-46.22239,2015,17,6.68
18.61261,-46.22239,2015,18,5.7
18.61261,-46.22239,2015,19,5.63
18.61261,-46.22239,2015,20,5.33
18.61261,-46.22239,2015,21,6.24
18.61261,-46.22239,2015,22,6.18
18.61261,-46.22239,2015,23,5.33
18.61261,-46.22239,2015,24,4.56
18.61261,-46.22239,2015,25,4
18.61261,-46.22239,2015,26,4.28
18.61261,-46.22239,2015,27,7.48
18.61261,-46.22239,2015,28,8.38
18.61261,-46.22239,2015,29,5.8
18.61261,-46.22239,2015,30,4.89
18.61261,-46.22239,2015,31,5.6
18.61261,-46.22239,2015,32,4.25
18.61261,-46.22239,2015,33,3.91
18.61261,-46.22239,2015,34,3.58
18.61261,-46.22239,2015,35,5.18
18.61261,-46.22239,2015,36,5.22
18.61261,-46.22239,2015,37,5.38
18.61261,-46.22239,2015,38,5.27
18.61261,-46.22239,2015,39,4.59
18.61261,-46.22239,2015,40,2.17
18.61261,-46.22239,2015,41,2.02
18.61261,-46.22239,2015,42,2.66
18.61261,-46.22239,2015,43,2.48
18.61261,-46.22239,2015,44,4.78
18.61261,-46.22239,2015,45,6.83
18.61261,-46.22239,2015,46,7.28
18.61261,-46.22239,2015,47,6.6
18.61261,-46.22239,2015,48,7.66
18.61261,-46.22239,2015,49,8.8
18.61261,-46.22239,2015,50,8.87
18.61261,-46.22239,2015,51,9.05
18.61261,-46.22239,2015,52,8.83
18.61261,-46.22239,2015,53,8.12
18.61261,-46.22239,2015,54,7.28
18.61261,-46.22239,2015,55,6.51
18.61261,-46.22239,2015,56,6.52
18.61261,-46.22239,2015,57,7.34
18.61261,-46.22239,2015,58,8.79
18.61261,-46.22239,2015,59,8.81
18.61261,-46.22239,2015,60,8.38
18.61261,-46.22239,2015,61,7.21
18.61261,-46.22239,2015,62,5.88
18.61261,-46.22239,2015,63,6.49
18.61261,-46.22239,2015,64,7.66
18.61261,-46.22239,2015,65,6.99
18.61261,-46.22239,2015,66,6.56
18.61261,-46.22239,2015,67,7.48
18.61261,-46.22239,2015,68,7.27
18.61261,-46.22239,2015,69,7.62
18.61261,-46.22239,2015,70,7.43
18.61261,-46.22239,2015,71,6.5
18.61261,-46.22239,2015,72,6.33
18.61261,-46.22239,2015,73,6.02
18.61261,-46.22239,2015,74,6.9
18.61261,-46.22239,2015,75,6.36
18.61261,-46.22239,2015,76,5.29
18.61261,-46.22239,2015,77,5.21
18.61261,-46.22239,2015,78,5.87
18.61261,-46.22239,2015,79,6.14
18.61261,-46.22239,2015,80,5.97
18.61261,-46.22239,2015,81,5.85
18.61261,-46.22239,2015,82,5.82
18.61261,-46.22239,2015,83,6.35
18.61261,-46.22239,2015,84,5.51
18.61261,-46.22239,2015,85,4.43
18.61261,-46.22239,2015,86,5.72
18.61261,-46.22239,2015,87,5.93
18.61261,-46.22239,2015,88,5.37
18.61261,-46.22239,2015,89,4.22
18.61261,-46.22239,2015,90,4.15
18.61261,-46.22239,2015,91,5.83
18.61261,-46.22239,2015,92,5.12
18.61261,-46.22239,2015,93,5.84
18.61261,-46.22239,2015,94,7.87
18.61261,-46.22239,2015,95,7.86
18.61261,-46.22239,2015,96,7.03
18.61261,-46.22239,2015,97,7.2
18.61261,-46.22239,2015,98,6.37
18.61261,-46.22239,2015,99,6.45
18.61261,-46.22239,2015,100,6.47
18.61261,-46.22239,2015,101,7.21
18.61261,-46.22239,2015,102,7.61
18.61261,-46.22239,2015,103,6.63
18.61261,-46.22239,2015,104,5.85
18.61261,-46.22239,2015,105,4.84
18.61261,-46.22239,2015,106,4.54
18.61261,-46.22239,2015,107,5.71
18.61261,-46.22239,2015,108,6.8
18.61261,-46.22239,2015,109,6.32
18.61261,-46.22239,2015,110,5.59
18.61261,-46.22239,2015,111,6.12
18.61261,-46.22239,2015,112,5.85
18.61261,-46.22239,2015,113,4.89
18.61261,-46.22239,2015,114,3.9
18.61261,-46.22239,2015,115,3.76
18.61261,-46.22239,2015,116,3.73
18.61261,-46.22239,2015,117,4.75
18.61261,-46.22239,2015,118,4.28
18.61261,-46.22239,2015,119,4.89
18.61261,-46.22239,2015,120,5.43
18.61261,-46.22239,2015,121,4.7
18.61261,-46.22239,2015,122,5.73
18.61261,-46.22239,2015,123,6.55
18.61261,-46.22239,2015,124,6.36
18.61261,-46.22239,2015,125,6.05
18.61261,-46.22239,2015,126,7.19
18.61261,-46.22239,2015,127,6.68
18.61261,-46.22239,2015,128,6.1
18.61261,-46.22239,2015,129,5.59
18.61261,-46.22239,2015,130,7.22
18.61261,-46.22239,2015,131,7.67
18.61261,-46.22239,2015,132,8.08
18.61261,-46.22239,2015,133,7.68
18.61261,-46.22239,2015,134,6.96
18.61261,-46.22239,2015,135,6.26
18.61261,-46.22239,2015,136,5.85
18.61261,-46.22239,2015,137,5.95
18.61261,-46.22239,2015,138,5.95
18.61261,-46.22239,2015,139,5.86
18.61261,-46.22239,2015,140,5.11
18.61261,-46.22239,2015,141,5.9
18.61261,-46.22239,2015,142,6.66
18.61261,-46.22239,2015,143,7.3
18.61261,-46.22239,2015,144,7.15
18.61261,-46.22239,2015,145,6.48
18.61261,-46.22239,2015,146,6.44
18.61261,-46.22239,2015,147,6.76
18.61261,-46.22239,2015,148,6.88
18.61261,-46.22239,2015,149,6.97
18.61261,-46.22239,2015,150,6.95
18.61261,-46.22239,2015,151,6.73
18.61261,-46.22239,2015,152,6.38
18.61261,-46.22239,2015,153,6.47
18.61261,-46.22239,2015,154,7.29
18.61261,-46.22239,2015,155,7.42
18.61261,-46.22239,2015,156,6.87
18.61261,-46.22239,2015,157,6.49
18.61261,-46.22239,2015,158,6.17
18.61261,-46.22239,2015,159,6
18.61261,-46.22239,2015,160,5.72
18.61261,-46.22239,2015,161,6.54
18.61261,-46.22239,2015,162,7
18.61261,-46.22239,2015,163,6.76
18.61261,-46.22239,2015,164,6.58
18.61261,-46.22239,2015,165,6.46
18.61261,-46.22239,2015,166,6.71
18.61261,-46.22239,2015,167,7.16
18.61261,-46.22239,2015,168,6.98
18.61261,-46.22239,2015,169,6.9
18.61261,-46.22239,2015,170,6.78
18.61261,-46.22239,2015,171,6.64
18.61261,-46.22239,2015,172,6.69
18.61261,-46.22239,2015,173,7.32
18.61261,-46.22239,2015,174,6.89
18.61261,-46.22239,2015,175,6.44
18.61261,-46.22239,2015,176,6.65
18.61261,-46.22239,2015,177,7.19
18.61261,-46.22239,2015,178,6.56
18.61261,-46.22239,2015,179,6.88
18.61261,-46.22239,2015,180,6.7
18.61261,-46.22239,2015,181,7.5
18.61261,-46.22239,2015,182,7.23
